Transitions:
Start: (0, 0)
Move 13: (16, 15) -> (18, 16)
Move 13: (17, 14) -> (19, 15)
Move 13: (18, 13) -> (20, 14)
Move 15: (19, 12) -> (21, 13)
Move 13: (20, 11) -> (22, 12)
Move 13: (21, 10) -> (23, 11)
Move 13: (9, 22) -> (10, 24)
Move 13: (22, 9) -> (24, 10)
Move 15: (8, 23) -> (9, 25)
Move 15: (23, 8) -> (25, 9)
Move 15: (7, 24) -> (8, 26)
Move 15: (24, 7) -> (26, 8)
Move 17: (6, 25) -> (7, 27)
Move 15: (25, 6) -> (27, 7)
Move 15: (5, 26) -> (6, 28)
Move 15: (26, 5) -> (28, 6)
Move 17: (4, 27) -> (5, 29)
Move 17: (27, 4) -> (29, 5)
Move 17: (3, 28) -> (4, 30)
Move 17: (28, 3) -> (30, 4)
Move 19: (2, 29) -> (3, 31)
Move 17: (29, 2) -> (31, 3)
Move 13: (12, 21) -> (13, 23)
Move 13: (12, 21) -> (14, 22)
Move 13: (13, 20) -> (15, 21)
Move 13: (14, 19) -> (16, 20)
Move 13: (15, 18) -> (17, 19)
Move 13: (16, 17) -> (18, 18)
Move 13: (17, 16) -> (19, 17)
Move 13: (18, 15) -> (20, 16)
Move 13: (19, 14) -> (21, 15)
Move 13: (20, 13) -> (22, 14)
Move 13: (21, 12) -> (23, 13)
Move 13: (11, 22) -> (12, 24)
Move 13: (22, 11) -> (24, 12)
Move 15: (10, 23) -> (11, 25)
Move 15: (23, 10) -> (25, 11)
Move 15: (9, 24) -> (10, 26)
Move 15: (24, 9) -> (26, 10)
Move 17: (8, 25) -> (9, 27)
Move 15: (25, 8) -> (27, 9)
Move 15: (7, 26) -> (8, 28)
Move 15: (26, 7) -> (28, 8)
Move 17: (6, 27) -> (7, 29)
Move 17: (27, 6) -> (29, 7)
Move 17: (5, 28) -> (6, 30)
Move 17: (28, 5) -> (30, 6)
Move 19: (4, 29) -> (5, 31)
Move 17: (29, 4) -> (31, 5)
Move 18: (1, 29) -> (0, 31)
Move 18: (1, 29) -> (2, 31)
Move 18: (0, 30) -> (1, 32)
